Oyuncu,Yaş,Uyruk,Mevki,Sezon,Lig,Kategori,MP,DK,GLS,AST,ASR,TOS,SOT,BCM,KEYP,BCC,SDR,APS,APS%,ALB,LBA%,ACR,CA%,CLS,YC,RC,ELTG,DRP,TACK,INT,BLS,ADW,xG,xA,GI,XGI,Bonservis
Aaron Cresswell,35,ENG,D,24/25,Premier League,Domestic leagues,18,847,0,0,6.91,5,0,0,9,2,1,451,86.6,43,53.8,10,27.8,3,3,0,0,2,11,8,1,7,0.23,1.90,0,2.14,500.000
Aaron Cresswell,34,ENG,D,23/24,Premier League,Domestic leagues,11,453,0,0,6.58,,,0,5,1,0,206,83.4,14,41.2,4,36.4,0,1,0,0,1,3,3,,6,,0.34,0,0.34,900.000
Aaron Cresswell,33,ENG,D,22/23,Premier League,Domestic leagues,28,2241,0,1,6.88,9,1,0,40,4,2,912,81.5,64,50.4,42,31.6,5,3,0,0,19,21,27,6,28,0.35,2.85,1,3.20,1.200.000
Aaron Cresswell,32,ENG,D,21/22,Premier League,Domestic leagues,31,2728,2,3,7.01,18,4,0,31,5,8,1412,82.6,81,38.6,34,23.4,7,3,0,0,12,28,35,7,32,,,5,,2.500.000
Aaron Cresswell,31,ENG,D,20/21,Premier League,Domestic leagues,36,3172,0,8,7.10,19,4,0,60,12,4,1303,78.9,119,41.6,59,28.5,11,3,0,0,14,32,32,3,35,,,8,,5.000.000
Aaron Cresswell,30,ENG,D,19/20,Premier League,Domestic leagues,31,2730,3,0,6.71,17,5,1,26,4,11,933,74.6,67,35.1,26,20.5,5,7,0,0,23,43,35,3,45,,,3,,6.500.000
Aaron Cresswell,29,ENG,D,18/19,Premier League,Domestic leagues,20,1590,0,1,6.81,11,0,0,17,1,6,661,81.4,29,39.2,16,21.3,1,1,0,0,12,29,23,3,25,,,1,,8.000.000
Aaron Cresswell,28,ENG,D,17/18,Premier League,Domestic leagues,36,3071,1,7,6.86,21,6,0,35,5,5,1002,77.1,98,40.3,35,17.9,10,7,0,0,11,34,44,6,57,,,8,,12.000.000
Aaron Cresswell,27,ENG,D,16/17,Premier League,Domestic leagues,26,2117,0,2,6.51,11,2,1,17,4,9,572,75.5,57,39.0,17,17.5,4,3,1,1,15,21,25,4,36,,,2,,12.000.000
Aaron Cresswell,26,ENG,D,15/16,Premier League,Domestic leagues,37,3315,2,4,6.82,28,7,0,41,3,12,1067,77.5,115,41.7,31,25.6,11,1,0,3,18,38,70,10,40,,,6,,12.000.000
Aaron Cresswell,34,ENG,D,23/24,UEFA Europa League,International competitions,6,416,1,0,6.77,1,1,0,2,0,0,201,85.9,7,43.8,3,25.0,1,1,0,0,1,4,2,0,6,0.13,0.44,1,0.56,900.000
Aaron Cresswell,32,ENG,D,21/22,UEFA Europa League,International competitions,9,704,0,3,6.57,2,0,0,15,2,0,395,84.4,21,41.2,17,28.8,3,1,2,0,5,6,8,0,5,,,3,,2.500.000
Aaron Cresswell,33,ENG,D,22/23,UEFA Conference League,International competitions,8,604,0,2,6.98,1,0,0,7,2,2,379,91.1,16,53.3,7,41.2,3,2,0,0,2,6,9,0,2,0.03,0.57,2,0.60,1.200.000
Aaron Wan Bissaka,27,ENG,D,24/25,Premier League,Domestic leagues,36,3154,2,5,7.13,16,5,1,33,7,64,1244,82.8,30,37.0,16,21.1,5,1,0,0,9,70,66,3,23,1.19,2.78,7,3.98,24.000.000
Aaron Wan Bissaka,26,ENG,D,23/24,Premier League,Domestic leagues,22,1781,0,2,6.97,3,1,0,12,1,17,690,82.9,13,31.7,4,28.6,3,4,0,0,7,42,41,2,21,0.11,1.38,2,1.49,20.000.000
Aaron Wan Bissaka,25,ENG,D,22/23,Premier League,Domestic leagues,19,1442,0,0,6.98,10,2,2,15,1,17,589,83.5,17,53.1,3,21.4,7,2,0,0,2,40,22,7,13,1.18,0.94,0,2.12,25.000.000
Aaron Wan Bissaka,24,ENG,D,21/22,Premier League,Domestic leagues,20,1794,0,0,6.91,5,1,0,14,1,36,759,81.0,17,38.6,8,22.9,3,2,0,0,6,49,34,3,19,,,0,,18.000.000
Aaron Wan Bissaka,23,ENG,D,20/21,Premier League,Domestic leagues,34,3060,2,4,7.14,7,4,0,31,2,34,1532,84.9,27,37.0,13,21.7,13,3,0,0,13,88,62,1,38,,,6,,40.000.000
Aaron Wan Bissaka,22,ENG,D,19/20,Premier League,Domestic leagues,35,3072,0,4,7.08,7,1,2,25,4,54,1341,81.3,33,33.0,14,13.6,11,8,0,0,22,129,66,2,24,,,4,,40.000.000
Aaron Wan Bissaka,21,ENG,D,18/19,Premier League,Domestic leagues,35,3135,0,3,7.03,9,0,0,14,4,61,851,73.0,34,22.7,12,21.4,12,4,1,0,10,129,84,5,43,,,3,,40.000.000
Aaron Wan Bissaka,20,ENG,D,17/18,Premier League,Domestic leagues,7,628,0,0,7.37,,,0,3,0,13,148,72.9,5,17.9,4,20.0,2,1,0,0,4,29,15,,9,,,0,,5.000.000
Aaron Wan Bissaka,26,ENG,D,23/24,UEFA Champions League,International competitions,3,213,0,1,6.83,,,0,3,1,2,80,90.9,2,40.0,0,,0,1,0,0,0,7,10,,1,,0.21,1,0.21,20.000.000
Aaron Wan Bissaka,24,ENG,D,21/22,UEFA Champions League,International competitions,6,419,0,0,6.78,1,0,0,1,0,8,218,85.2,8,53.3,0,,1,0,1,0,1,12,11,1,1,,,0,,18.000.000
Aaron Wan Bissaka,23,ENG,D,20/21,UEFA Champions League,International competitions,6,472,0,1,6.88,,,0,3,0,3,173,79.0,3,20.0,0,,0,0,0,0,3,14,9,,2,,,1,,40.000.000
Aaron Wan Bissaka,25,ENG,D,22/23,UEFA Europa League,International competitions,6,412,0,0,6.62,3,1,0,3,0,5,143,79.9,2,33.3,2,33.3,0,0,0,0,2,8,8,2,3,0.22,0.46,0,0.68,25.000.000
Aaron Wan Bissaka,23,ENG,D,20/21,UEFA Europa League,International competitions,9,725,0,0,6.91,2,1,0,2,0,11,338,87.3,5,25.0,2,14.3,3,2,0,0,6,19,13,0,6,,,0,,40.000.000
Aaron Wan Bissaka,22,ENG,D,19/20,UEFA Europa League,International competitions,5,447,0,0,7.18,,,0,6,0,3,182,85.0,2,25.0,2,13.3,3,0,0,0,3,15,10,,3,,,0,,40.000.000
Abbott Zach,18,ENG,D,24/25,"Premier League 2, Division 1",Domestic leagues,16,1440,2,0,,,,0,0,0,0,16,16,0,0,0,0,0,1,0,0,0,0,0,,,,,2,,300.000
Abbott Zach,17,ENG,D,23/24,"Premier League 2, Division 1",Domestic leagues,21,1890,0,0,,,,0,0,0,0,21,21,0,0,0,0,0,4,0,0,0,0,0,,,,,0,,300.000
Abdoulaye Doucoure,31,MLI,OS,24/25,Premier League,Domestic leagues,33,2585,3,2,6.76,31,10,4,28,3,24,724,82.7,23,59.0,1,4.3,6,4,1,1,29,48,10,13,30,4.14,1.40,5,5.54,8.000.000
Abdoulaye Doucoure,30,MLI,OS,23/24,Premier League,Domestic leagues,32,2637,7,2,6.91,47,23,10,34,4,25,680,78.5,17,48.6,3,11.5,9,7,0,0,28,43,15,9,24,8.77,1.51,9,10.28,12.000.000
Abdoulaye Doucoure,29,MLI,OS,22/23,Premier League,Domestic leagues,25,1550,5,2,6.74,20,8,2,22,3,19,428,79.6,3,23.1,2,25.0,4,6,1,0,25,31,13,5,13,2.41,1.38,7,3.78,12.000.000
Abdoulaye Doucoure,28,MLI,OS,21/22,Premier League,Domestic leagues,30,2544,2,4,6.85,34,11,1,19,3,21,862,79.6,31,50.0,1,9.1,5,6,0,0,39,75,28,13,35,,,6,,25.000.000
Abdoulaye Doucoure,27,MLI,OS,20/21,Premier League,Domestic leagues,29,2451,2,3,6.90,18,5,1,21,2,21,1140,85.0,38,63.3,1,11.1,7,6,0,0,29,52,39,6,38,,,5,,25.000.000
Abdoulaye Doucoure,26,MLI,OS,19/20,Premier League,Domestic leagues,37,3167,4,2,6.80,61,12,4,38,6,40,1315,78.4,41,48.2,5,17.2,5,9,0,0,41,64,31,20,55,,,6,,25.000.000
Abdoulaye Doucoure,25,MLI,OS,18/19,Premier League,Domestic leagues,35,3062,5,6,6.81,52,17,5,38,8,32,1619,83.4,59,54.1,2,18.2,5,7,0,1,40,71,34,19,41,,,11,,25.000.000
Abdoulaye Doucoure,24,MLI,OS,17/18,Premier League,Domestic leagues,37,3325,7,3,7.02,47,17,1,40,1,41,1877,83.6,84,59.2,6,23.1,9,10,0,0,52,79,54,10,43,,,10,,6.000.000
Abdoulaye Doucoure,23,MLI,OS,16/17,Premier League,Domestic leagues,20,1359,1,0,6.76,22,8,1,12,0,14,725,87.0,24,54.5,1,20.0,4,4,0,0,22,17,21,7,14,,,1,,6.000.000
Abdoulaye Doucoure,22,MLI,OS,15/16,LaLiga,Domestic leagues,15,1156,0,2,6.81,10,0,1,11,1,6,468,83.9,37,69.8,0,,3,5,0,0,8,31,31,5,14,,,2,,6.000.000
Abdoulaye Doucoure,22,MLI,OS,15/16,Ligue 1,Domestic leagues,16,944,2,2,6.93,20,8,2,21,2,11,489,86.4,11,47.8,1,20.0,2,1,0,0,12,20,14,3,10,,,4,,6.000.000
Abdukodir Khusanov,20,UZB,D,24/25,Premier League,Domestic leagues,6,504,0,0,6.75,1,0,0,2,0,0,357,91.3,5,22.7,0,,2,1,0,1,1,5,3,1,7,0.02,0.09,0,0.11,35.000.000
Abdukodir Khusanov,20,UZB,D,24/25,Ligue 1,Domestic leagues,13,975,0,0,7.17,6,5,0,2,1,1,475,89.0,31,54.4,1,20.0,5,2,1,0,4,15,26,0,28,0.24,0.23,0,0.47,12.000.000
Abdukodir Khusanov,19,UZB,D,23/24,Ligue 1,Domestic leagues,11,817,0,0,6.85,5,2,0,1,0,1,383,87.6,22,46.8,0,,3,5,0,0,8,21,13,1,6,0.19,0.19,0,0.38,2.000.000
Abdukodir Khusanov,20,UZB,D,24/25,UEFA Champions League,International competitions,1,90,0,0,6.80,1,1,0,1,0,1,53,93.0,,,1,50.0,0,0,0,0,2,1,1,0,,0.04,0.05,0,0.09,35.000.000
Abdukodir Khusanov,19,UZB,D,23/24,UEFA Champions League,International competitions,2,29,0,0,5.90,,,0,0,0,0,12,66.7,1,33.3,,,0,1,0,0,1,2,0,,,,0.00,0,0.00,2.000.000
Abdukodir Khusanov,20,UZB,D,24/25,UEFA Conference League,International competitions,2,154,0,0,6.85,1,0,0,0,0,1,39,67.2,1,16.7,,,0,0,0,0,1,4,2,0,11,,,0,,35.000.000
Abdukodir Khusanov,19,UZB,D,23/24,UEFA Europa League,International competitions,2,121,0,0,6.60,,,0,1,0,0,64,85.3,3,30.0,,,0,0,0,0,0,2,3,,4,,0.05,0,0.05,2.000.000
Abdul Fatawu Issahaku,20,GHA,OS,24/25,Premier League,Domestic leagues,11,577,0,2,7.06,13,5,1,6,2,29,108,68.4,11,55.0,6,20.0,0,0,0,0,8,21,4,2,14,0.42,1.42,2,1.84,13.000.000
Abdul Fatawu Issahaku,19,GHA,OS,23/24,Championship,Domestic leagues,40,2828,6,13,7.52,75,15,0,67,32,90,812,79.9,61,60.4,41,28.7,3,6,1,0,24,61,20,18,48,4.72,10.75,19,15.47,7.000.000
Abdul Fatawu Issahaku,18,GHA,OS,22/23,Liga Portugal Betclic,Domestic leagues,6,112,0,0,6.46,4,1,1,1,0,6,30,65.2,0,,1,10.0,0,2,0,0,4,1,2,1,2,,,0,,3.000.000
Abdul Fatawu Issahaku,18,GHA,OS,22/23,Taça da Liga,Domestic leagues,1,34,0,0,6.80,1,0,0,0,0,0,6,85.7,1,100.0,,,0,0,0,0,0,2,0,0,2,,,0,,500.000
Abdul Fatawu Issahaku,18,GHA,OS,22/23,UEFA Europa League,International competitions,1,1,0,0,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,,0.00,0.00,0,0.00,7.000.000
Abdul Fatawu Issahaku,18,GHA,OS,22/23,UEFA Youth League,International competitions,1,90,3,0,10,8,3,0,4,1,7,19,86.4,3,100.0,,,0,0,0,0,0,2,0,1,,,,3,,7.000.000
Abdul Fatawu Issahaku,18,GHA,OS,22/23,UEFA Champions League,International competitions,2,87,0,0,6.70,2,1,0,0,0,1,16,80.0,1,100.0,0,,0,0,0,0,0,4,0,0,1,0.11,0.01,0,0.12,7.000.000
Adam Lallana,36,ENG,OS,24/25,Premier League,Domestic leagues,14,377,0,2,6.65,3,0,0,4,1,5,218,85.5,3,37.5,3,75.0,0,4,0,0,10,8,5,1,2,0.17,0.49,2,0.66,900.000
Adam Lallana,35,ENG,OS,23/24,Premier League,Domestic leagues,25,860,0,1,6.68,11,2,0,15,2,3,449,90.0,3,60.0,2,28.6,0,2,0,0,4,8,3,3,3,0.83,1.96,1,2.79,1.000.000
Adam Lallana,34,ENG,OS,22/23,Premier League,Domestic leagues,16,728,2,1,6.78,8,5,1,14,0,3,258,83.2,2,50.0,2,66.7,0,0,0,0,7,9,2,0,8,0.90,1.22,3,2.12,1.500.000
Adam Lallana,33,ENG,OS,21/22,Premier League,Domestic leagues,24,1574,0,1,6.74,19,4,0,8,1,14,834,87.1,20,40.0,1,33.3,3,4,0,0,29,34,16,5,15,,,1,,2.500.000
Adam Lallana,32,ENG,OS,20/21,Premier League,Domestic leagues,30,1588,1,1,6.78,22,5,0,25,4,18,785,85.0,18,45.0,2,16.7,3,0,0,0,31,28,15,8,10,,,2,,6.000.000
Adam Lallana,31,ENG,OS,19/20,Premier League,Domestic leagues,15,389,1,1,6.63,5,1,0,4,1,2,228,85.7,4,50.0,0,,0,1,0,0,15,19,5,2,4,,,2,,9.500.000
Adam Lallana,30,ENG,OS,18/19,Premier League,Domestic leagues,13,476,0,0,6.73,5,2,0,10,0,8,248,82.1,5,41.7,2,25.0,0,1,0,0,7,16,5,2,9,,,0,,15.000.000
Adam Lallana,29,ENG,OS,17/18,Premier League,Domestic leagues,12,235,0,0,6.57,11,0,2,7,0,6,189,85.9,4,57.1,2,25.0,0,1,0,0,8,3,1,6,3,,,0,,25.000.000
Adam Lallana,28,ENG,OS,16/17,Premier League,Domestic leagues,31,2346,8,7,7.01,50,20,2,43,4,33,1186,84.3,29,56.9,10,20.8,3,3,0,0,40,51,20,21,22,,,15,,22.000.000
Adam Lallana,27,ENG,OS,15/16,Premier League,Domestic leagues,30,2110,4,6,7.01,44,15,3,51,8,42,815,82.4,23,57.5,13,20.6,5,2,0,0,34,59,20,15,23,,,10,,18.000.000
Adam Lallana,35,ENG,OS,23/24,UEFA Europa League,International competitions,2,69,0,0,6.65,,,0,1,0,0,32,86.5,,,,,0,1,0,0,0,2,1,,,,0.19,0,0.19,1.000.000
Adam Lallana,27,ENG,OS,15/16,UEFA Europa League,International competitions,13,977,3,1,6.98,19,9,3,24,3,13,340,79.3,4,40.0,5,12.2,3,1,0,0,18,28,7,5,13,,,4,,18.000.000
Adam Lallana,30,ENG,OS,18/19,UEFA Champions League,International competitions,3,104,0,0,6.00,3,1,1,1,0,2,40,75.5,0,,0,,0,1,0,0,2,0,2,2,3,,,0,,15.000.000
Adam Lallana,29,ENG,OS,17/18,UEFA Champions League,International competitions,2,150,0,0,6.55,1,0,0,0,0,2,44,80.0,2,66.7,0,,1,0,0,0,7,2,1,1,1,,,0,,25.000.000
Adam Smith,33,ENG,D,24/25,Premier League,Domestic leagues,25,1604,0,0,6.63,3,0,1,9,0,6,414,78.7,21,27.3,7,21.2,3,7,0,0,13,24,15,1,14,0.65,0.68,0,1.33,1.000.000
Adam Smith,32,ENG,D,23/24,Premier League,Domestic leagues,28,2175,0,2,6.69,2,0,0,17,2,4,592,77.1,23,18.9,18,46.2,6,6,0,0,20,37,21,1,19,0.05,1.72,2,1.78,1.000.000
Adam Smith,31,ENG,D,22/23,Premier League,Domestic leagues,37,2948,0,1,6.53,5,1,2,16,2,6,724,75.3,61,39.1,19,39.6,6,11,0,0,31,49,25,3,29,0.50,1.55,1,2.05,1.500.000
Adam Smith,28,ENG,D,19/20,Premier League,Domestic leagues,24,2060,0,1,6.50,4,1,1,10,2,24,669,79.5,26,29.2,6,21.4,3,7,0,0,27,47,25,1,35,,,1,,7.000.000
Adam Smith,27,ENG,D,18/19,Premier League,Domestic leagues,25,2072,1,1,6.63,7,1,1,12,0,20,715,82.0,22,34.4,4,18.2,7,5,1,1,22,46,31,2,28,,,2,,5.000.000
Adam Smith,26,ENG,D,17/18,Premier League,Domestic leagues,27,2069,1,3,6.75,13,3,0,22,1,29,751,82.3,31,43.1,10,28.6,2,6,0,0,29,49,31,1,15,,,4,,5.000.000
Adam Smith,25,ENG,D,16/17,Premier League,Domestic leagues,36,3099,1,5,6.78,26,6,1,30,8,36,1231,84.7,38,37.6,13,23.6,8,6,0,0,46,85,54,8,31,,,6,,2.500.000
Adam Smith,24,ENG,D,15/16,Premier League,Domestic leagues,31,2096,2,0,6.86,15,4,0,15,1,46,767,84.2,36,49.3,11,19.6,6,5,0,0,29,71,44,6,21,,,2,,1.500.000
Adam Smith,30,ENG,D,21/22,Championship,Domestic leagues,20,1713,0,2,6.87,6,2,0,14,2,6,785,83.0,36,37.1,4,13.8,9,5,1,0,19,47,15,2,26,,,2,,2.000.000
Adam Smith,29,ENG,D,20/21,Championship,Domestic leagues,43,3510,0,5,6.69,13,5,3,31,3,24,1226,80.4,50,35.2,8,11.3,12,4,0,0,22,55,29,2,53,,,5,,4.000.000
Adam Webster,29,ENG,D,24/25,Premier League,Domestic leagues,14,888,0,0,6.95,5,1,1,3,1,1,636,88.2,37,44.0,0,,3,1,0,1,8,10,20,2,24,0.25,0.27,0,0.51,12.000.000
Adam Webster,28,ENG,D,23/24,Premier League,Domestic leagues,15,1143,0,0,6.88,8,1,0,5,0,0,991,91.3,35,55.6,0,,1,2,0,1,12,14,16,3,33,0.43,0.32,0,0.75,20.000.000
Adam Webster,27,ENG,D,22/23,Premier League,Domestic leagues,27,1996,0,0,6.87,18,2,2,6,1,3,1485,88.6,83,58.0,1,50.0,8,2,0,1,8,22,19,2,60,1.76,0.45,0,2.21,22.000.000
Adam Webster,26,ENG,D,21/22,Premier League,Domestic leagues,22,1438,2,0,6.91,8,3,1,1,0,10,933,81.0,67,42.1,1,16.7,4,5,0,0,7,26,17,1,56,,,2,,18.000.000
Adam Webster,25,ENG,D,20/21,Premier League,Domestic leagues,29,2595,1,0,6.93,25,7,0,5,0,17,1487,80.9,100,44.1,0,,9,4,0,0,13,29,47,3,77,,,1,,15.000.000
Adam Webster,24,ENG,D,19/20,Premier League,Domestic leagues,31,2670,3,1,6.91,16,7,1,11,2,14,1563,83.1,114,50.2,2,33.3,5,4,0,1,18,30,45,3,111,,,4,,15.000.000
Adam Webster,28,ENG,D,23/24,"Premier League 2, Division 1",Domestic leagues,1,90,0,0,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,20.000.000
Adam Webster,23,ENG,D,18/19,Championship,Domestic leagues,44,3747,3,0,7.13,29,7,1,27,2,21,1907,74.0,227,41.9,3,42.9,11,5,0,0,16,61,91,7,280,,,3,,4.000.000
Adam Webster,22,ENG,D,17/18,Championship,Domestic leagues,28,2287,0,2,7.03,5,0,0,3,2,19,625,58.7,114,33.9,,,7,6,0,0,10,35,57,0,148,,,2,,750.000
Adam Webster,21,ENG,D,16/17,Championship,Domestic leagues,23,1866,1,1,7.19,5,2,0,6,0,24,521,58.7,77,26.0,0,,6,1,0,0,9,39,74,1,108,,,2,,750.000
Adam Webster,28,ENG,D,23/24,UEFA Europa League,International competitions,1,8,0,0,6.50,,,0,0,0,0,10,100.0,,,,,0,0,0,0,0,0,0,,,,0.00,0,0.00,20.000.000
Adam Wharton,20,ENG,OS,24/25,Premier League,Domestic leagues,20,1336,0,2,6.97,13,5,0,26,5,2,534,78.6,40,57.1,14,35.9,0,2,0,0,27,34,20,3,7,0.37,2.18,2,2.55,45.000.000
Adam Wharton,19,ENG,OS,23/24,Premier League,Domestic leagues,16,1305,0,3,7.09,10,1,0,21,5,3,456,81.1,28,57.1,8,32.0,2,2,0,1,23,48,20,3,8,0.34,1.51,3,1.85,32.000.000
Adam Wharton,19,ENG,OS,23/24,Championship,Domestic leagues,26,1960,2,3,7.14,22,5,0,35,2,17,1017,84.6,70,61.9,11,23.9,2,5,0,0,40,60,32,10,14,1.45,3.67,5,5.12,3.500.000
Adam Wharton,18,ENG,OS,22/23,Championship,Domestic leagues,18,1072,2,1,6.95,9,4,0,13,2,8,517,83.7,29,54.7,5,15.6,1,1,0,1,18,31,15,4,10,,,3,,2.500.000
Adama Traore,28,ESP,F,24/25,Premier League,Domestic leagues,36,1794,2,7,6.84,39,12,7,42,11,48,393,81.2,9,52.9,30,30.0,0,3,0,1,8,20,1,15,25,4.00,4.53,9,8.53,10.000.000
Adama Traore,27,ESP,F,23/24,Premier League,Domestic leagues,17,404,2,3,6.78,11,7,2,7,2,9,90,81.1,3,60.0,5,19.2,0,2,0,0,3,4,1,1,9,1.53,0.89,5,2.42,9.000.000
Adama Traore,26,ESP,F,22/23,Premier League,Domestic leagues,34,1491,2,1,6.74,19,8,0,24,4,49,304,74.1,9,60.0,20,24.7,0,2,0,0,5,14,3,4,39,1.40,3.18,3,4.58,15.000.000
Adama Traore,25,ESP,F,21/22,Premier League,Domestic leagues,20,1063,1,0,7.05,23,5,3,19,3,83,232,77.9,10,66.7,9,23.1,1,0,0,0,4,8,2,11,15,,,1,,28.000.000
Adama Traore,24,ESP,F,20/21,Premier League,Domestic leagues,37,2642,2,2,7.03,43,13,0,55,6,153,534,76.3,15,55.6,24,16.0,6,4,0,1,8,28,7,19,73,,,4,,40.000.000
Adama Traore,23,ESP,F,19/20,Premier League,Domestic leagues,37,2606,4,9,7.27,43,12,4,48,10,183,530,74.3,9,27.3,44,24.0,1,1,0,0,15,33,13,15,45,,,13,,28.000.000
Adama Traore,22,ESP,F,18/19,Premier League,Domestic leagues,29,910,1,1,6.87,19,7,1,17,2,65,195,72.2,5,55.6,15,42.9,0,1,0,0,5,16,6,5,22,,,2,,18.000.000
Adama Traore,20,ESP,F,16/17,Premier League,Domestic leagues,27,1535,0,1,6.95,11,2,1,19,1,136,258,69.9,12,50.0,16,20.3,3,1,0,0,10,30,6,3,15,,,1,,7.000.000
Adama Traore,19,ESP,F,15/16,Premier League,Domestic leagues,10,184,0,1,6.46,2,0,0,1,0,25,24,80.0,2,66.7,2,9.5,0,1,0,0,0,1,0,1,,,,1,,8.000.000
Adama Traore,25,ESP,F,21/22,LaLiga,Domestic leagues,11,384,0,2,6.89,9,3,1,7,2,24,109,85.2,3,75.0,11,28.9,0,0,0,1,2,4,4,2,5,,,2,,20.000.000
Adama Traore,21,ESP,F,17/18,Championship,Domestic leagues,36,2424,5,10,7.51,53,15,1,53,7,262,329,72.1,13,52.0,47,26.9,5,3,2,0,14,29,16,19,37,,,15,,8.000.000
Adama Traore,20,ESP,F,16/17,Championship,Domestic leagues,1,16,0,0,6.60,1,0,0,0,0,0,1,100.0,1,100.0,,,0,0,0,0,0,0,0,0,,,,0,,7.000.000
Adama Traore,25,ESP,F,21/22,UEFA Europa League,International competitions,6,355,0,2,7.17,4,1,0,6,1,26,89,82.4,0,,4,14.3,0,0,0,0,1,2,0,2,1,,,2,,20.000.000
Adama Traore,23,ESP,F,19/20,UEFA Europa League,International competitions,10,629,2,0,7.19,8,3,1,5,1,47,149,81.0,3,50.0,8,18.6,0,1,0,0,1,8,1,1,16,,,2,,28.000.000
Albert Gronbaek,23,DEN,OS,24/25,Premier League,Domestic leagues,4,150,0,0,6.30,2,0,0,1,0,0,13,76.5,,,0,,0,0,0,0,7,4,0,2,2,0.12,0.01,0,0.13,23.000.000
Albert Gronbaek,23,DEN,OS,24/25,Ligue 1,Domestic leagues,16,813,2,1,6.78,22,9,2,19,0,11,145,68.7,7,53.8,5,17.9,0,1,0,0,18,21,4,8,4,1.52,0.85,3,2.37,15.000.000
Albert Gronbaek,21,DEN,OS,22/23,Danish Superliga,Domestic leagues,4,114,0,0,6.53,5,2,0,0,0,2,33,67.3,4,80.0,0,,0,1,0,0,1,3,4,2,1,,,0,,2.300.000
Albert Gronbaek,20,DEN,OS,21/22,Danish Superliga,Domestic leagues,31,1981,3,4,6.69,38,11,1,19,2,33,357,65.7,45,56.3,6,18.8,2,4,0,1,40,57,21,10,25,,,7,,1.000.000
Albert Gronbaek,19,DEN,OS,20/21,Danish Superliga,Domestic leagues,32,1902,5,2,6.74,56,9,3,14,3,24,317,69.7,24,52.2,6,17.6,2,2,0,0,34,36,22,14,31,,,7,,600.000
Albert Gronbaek,18,DEN,OS,19/20,Danish Superliga,Domestic leagues,8,195,0,0,6.53,5,3,1,0,0,3,38,67.9,6,54.5,0,,0,0,0,0,3,7,4,0,6,,,0,,250.000
Albert Gronbaek,22,DEN,OS,23/24,UEFA Conference League,International competitions,9,761,3,2,6.94,22,8,4,7,3,17,161,75.6,12,50.0,1,16.7,2,2,1,0,11,18,3,9,,2.91,0.86,5,3.77,10.000.000
Albert Gronbaek,21,DEN,OS,22/23,UEFA Conference League,International competitions,2,176,0,0,6.85,4,1,1,4,1,1,25,69.4,2,66.7,,,0,0,0,0,3,6,0,1,,0.49,0.25,0,0.75,2.300.000
Albert Gronbaek,21,DEN,OS,22/23,UEFA Europa League,International competitions,6,375,1,1,6.68,11,2,0,4,1,4,79,73.8,4,66.7,3,23.1,0,0,0,0,3,5,7,3,1,0.68,0.29,2,0.96,2.300.000
Albert Gronbaek,21,DEN,OS,22/23,UEFA Champions League,International competitions,2,65,1,0,7.05,2,1,0,3,0,1,9,64.3,0,,3,75.0,0,0,0,0,1,1,1,0,1,0.00,0.00,1,0.00,2.300.000
Alejandro Garnacho,20,ARG,F,24/25,Premier League,Domestic leagues,36,2195,6,2,6.81,84,30,14,37,4,26,625,83.3,18,64.3,9,16.1,3,3,0,2,25,30,13,29,3,7.33,2.77,8,10.11,45.000.000
Alejandro Garnacho,19,ARG,F,23/24,Premier League,Domestic leagues,36,2586,7,4,7.07,100,28,7,46,6,48,662,79.4,19,45.2,7,12.1,2,4,0,0,33,22,18,40,7,8.39,2.91,11,11.29,45.000.000
Alejandro Garnacho,18,ARG,F,22/23,Premier League,Domestic leagues,21,716,4,3,6.59,35,12,5,6,3,18,190,81.5,5,71.4,0,,0,4,0,0,11,5,5,10,5,3.03,0.93,7,3.96,25.000.000
Alejandro Garnacho,17,ARG,F,21/22,Premier League,Domestic leagues,3,20,0,0,6.50,1,0,0,0,0,1,5,83.3,,,,,0,0,0,0,2,1,0,0,,,,0,,2.000.000
Alejandro Garnacho,20,ARG,F,24/25,UEFA Europa League,International competitions,15,974,1,4,7.06,43,14,6,22,3,20,273,84.8,7,63.6,1,4.2,0,2,0,0,4,7,3,15,4,5.01,1.49,5,6.50,45.000.000
Alejandro Garnacho,18,ARG,F,22/23,UEFA Europa League,International competitions,6,213,1,0,6.74,6,1,0,2,0,5,61,84.7,0,,0,,0,1,0,0,2,2,3,2,,0.64,0.18,1,0.83,25.000.000
Alejandro Garnacho,19,ARG,F,23/24,UEFA Champions League,International competitions,6,300,1,0,6.53,8,3,3,3,0,4,60,82.2,5,100.0,1,20.0,0,0,0,0,2,4,5,2,1,1.00,0.18,1,1.19,45.000.000
Alex Iwobi,28,NGR,OS,24/25,Premier League,Domestic leagues,38,2994,9,6,7.27,68,29,3,60,12,48,1101,80.0,57,53.8,25,19.8,2,1,0,0,12,44,14,20,7,4.29,6.98,15,11.27,25.000.000
Alex Iwobi,27,NGR,OS,23/24,Premier League,Domestic leagues,32,2342,5,2,7.06,55,20,2,53,5,40,826,81.6,40,48.8,13,18.6,0,2,0,0,14,31,15,18,6,5.65,4.32,7,9.97,28.000.000
